"stdliv_next5","stdliv_next5_di","stdliv_past5","stdliv_past5_di","cat_age","wave","female","education","EGP6","income","pensions","unemployed","car_owner","cntry","y1"
1,1,1,1,3,1993,1,3,"1",1,0,0,0,"belarus",1293
1,1,1,1,2,1993,1,2,"2",2,0,0,0,"belarus",872
4,2,1,1,3,1993,1,3,"1",1,1,0,0,"belarus",177
2,1,2,1,2,1993,0,3,"1",3,0,0,1,"belarus",175
3,3,3,3,2,1993,1,2,"1",1,0,0,0,"belarus",927
3,3,2,1,2,1993,0,3,"1",2,0,0,0,"belarus",719
3,3,4,2,2,1993,0,3,"1",3,0,0,1,"belarus",1271
1,1,2,1,2,1993,0,2,"4",1,0,0,0,"belarus",616
5,2,4,2,1,1993,0,2,"1",1,0,0,0,"belarus",929
3,3,1,1,2,1993,1,2,"2",3,0,0,1,"belarus",382
3,3,2,1,3,1993,1,1,"6",1,1,0,0,"belarus",543
3,3,2,1,3,1993,1,1,"6",1,1,0,0,"belarus",558
4,2,2,1,3,1993,1,2,"4",2,0,0,0,"belarus",68
1,1,1,1,3,1993,1,2,"5",1,1,0,1,"belarus",1292
2,1,4,2,3,1993,1,2,"5",2,0,0,0,"belarus",582
1,1,2,1,1,1993,0,3,"4",2,0,0,0,"belarus",613
2,1,2,1,2,1993,1,3,"1",2,0,0,1,"belarus",236
1,1,2,1,1,1993,0,2,"4",3,0,0,0,"belarus",100
1,1,1,1,3,1993,1,3,"1",1,1,0,0,"belarus",604
4,2,2,1,2,1993,1,3,"4",3,0,0,0,"belarus",8
3,3,4,2,3,1993,0,1,"5",3,0,0,0,"belarus",1151
3,3,1,1,1,1993,1,2,"2",3,0,0,0,"belarus",970
3,3,2,1,4,1993,0,1,"4",2,1,0,0,"belarus",914
3,3,2,1,2,1993,0,3,"1",3,0,0,0,"belarus",606
4,2,3,3,2,1993,1,3,"1",3,0,0,0,"belarus",507
3,3,2,1,1,1993,0,1,"5",2,0,0,0,"belarus",1171
4,2,4,2,1,1993,1,3,"1",3,0,0,0,"belarus",904
4,2,4,2,2,1993,0,3,"1",1,0,1,1,"belarus",1208
1,1,1,1,2,1993,1,2,"1",1,0,0,0,"belarus",529
3,3,3,3,1,1993,0,3,"5",1,0,0,0,"belarus",59
4,2,1,1,2,1993,1,3,"4",2,0,0,0,"belarus",359
2,1,2,1,1,1993,0,2,"5",2,0,0,1,"belarus",827
3,3,3,3,2,1993,1,2,"6",2,0,0,0,"belarus",861
3,3,1,1,1,1993,1,3,"6",2,0,0,0,"belarus",228
1,1,1,1,3,1993,1,3,"1",2,0,0,1,"belarus",1069
3,3,4,2,1,1993,0,2,"4",1,0,0,0,"belarus",1130
1,1,2,1,3,1993,1,3,"2",1,0,0,0,"belarus",1046
1,1,1,1,3,1993,0,3,"1",2,0,0,0,"belarus",1074
2,1,2,1,2,1993,0,2,"6",2,0,0,0,"belarus",865
3,3,3,3,3,1993,0,3,"6",2,0,0,0,"belarus",831
3,3,2,1,1,1993,0,2,"6",1,0,0,0,"belarus",1276
1,1,1,1,4,1993,0,3,"4",1,1,0,0,"belarus",609
2,1,1,1,2,1993,0,2,"5",1,0,0,1,"belarus",645
3,3,1,1,2,1993,0,3,"1",1,0,0,0,"belarus",824
4,2,2,1,3,1993,0,3,"1",2,0,0,0,"belarus",35
4,2,2,1,2,1993,1,3,"1",3,0,0,0,"belarus",817
3,3,2,1,2,1993,1,3,"1",3,0,0,0,"belarus",1184
3,3,4,2,2,1993,1,3,"1",2,0,0,1,"belarus",598
3,3,3,3,3,1993,1,2,"4",1,0,0,0,"belarus",1214
3,3,3,3,2,1993,1,3,"1",3,0,0,1,"belarus",293
1,1,1,1,2,1993,1,3,"4",2,0,0,1,"belarus",387
3,3,3,3,1,1993,0,2,"4",3,0,0,1,"belarus",279
1,1,1,1,2,1993,0,3,"6",2,0,0,1,"belarus",1306
4,2,3,3,1,1993,0,2,"3",3,0,0,0,"belarus",18
3,3,2,1,1,1993,0,2,"1",1,0,0,0,"belarus",1120
1,1,1,1,1,1993,1,2,"5",1,0,0,1,"belarus",496
3,3,4,2,2,1993,1,3,"1",3,0,0,1,"belarus",752
2,1,2,1,2,1993,1,3,"4",3,0,0,0,"belarus",1096
1,1,2,1,4,1993,1,1,"1",1,1,0,0,"belarus",1244
1,1,1,1,4,1993,1,1,"5",1,0,0,0,"belarus",829
2,1,2,1,3,1993,1,3,"1",2,0,0,0,"belarus",191
3,3,1,1,4,1993,1,1,"6",1,0,0,0,"belarus",1052
3,3,3,3,3,1993,0,3,"4",2,0,0,1,"belarus",628
3,3,1,1,2,1993,1,3,"1",2,0,0,0,"belarus",342
1,1,3,3,1,1993,0,2,"5",2,0,0,0,"belarus",977
2,1,2,1,2,1993,1,3,"1",3,0,0,0,"belarus",1243
3,3,2,1,4,1993,1,1,"2",1,1,0,0,"belarus",1172
4,2,1,1,3,1993,1,2,"2",2,0,0,0,"belarus",1408
3,3,2,1,2,1993,1,3,"1",3,0,0,0,"belarus",1173
3,3,1,1,1,1993,0,2,"4",3,0,0,1,"belarus",818
4,2,2,1,1,1993,0,2,"4",2,0,0,0,"belarus",43
